method,evidence_role,roi_rmse,landmark_rmse,dorsum_rmse,tip_rmse,edge_strain_p95,normal_flip_pct,abs_flip_pct,missed_flip_pct
Certified RB-SR,primary_internal_final_rerun,1.05993127878513,0.0,0.997217907953563,0.7842773022737441,0.20353047931336007,0.22689403801093466,0.509588201725666,1.737833950018277
Ridge,matched_internal_final_rerun_baseline,1.0739138908867893,0.0,1.0183637989118668,0.8159477377396833,0.20341028336590333,0.33166341888028944,0.7146129348680769,1.637578597745221
CVAE,matched_internal_final_rerun_baseline,1.3194886957324266,0.0,1.1923980237846363,0.9806160028889519,0.2387763895807031,1.3519088305602234,1.9357779829011277,1.436658961392104
Hybrid,matched_internal_final_rerun_baseline,1.0653718864699764,0.0,1.0047054261030812,0.7999953775733197,0.19500876939875902,0.44239452583633787,0.869027426043828,1.593895213525518
LAMM,matched_internal_final_rerun_external_baseline,0.9715437016189514,0.0,0.9471887890633707,0.7183520550082448,0.3195854848707927,0.8787234490176433,1.8201949197783618,1.0790566429722899
Laplacian,matched_internal_final_rerun_classical_baseline,1.6420362927613747,0.0,1.6306387369215254,1.0030053915036652,0.1778640229880858,0.5597000991429526,0.8944140704099048,1.6858141424660558
bi-Laplacian,matched_internal_final_rerun_classical_baseline,2.007143472850052,0.0,1.6499201904615808,1.1902847324203447,0.28302136097795816,1.4884618115547559,2.0077512958273176,1.5012386294604467
ARAP,matched_internal_final_rerun_classical_baseline,1.696876149261784,0.0,1.7377800429470698,1.0865921856549718,0.06172612990087716,0.05368709221872461,0.10798429491478176,1.9662309110369511
